Timestamp,Date,Hour,DayOfWeek,ExpectedVolume,ActualVolume,AHT_minutes,RequiredAgents,ScheduledStaff,AttendanceRate,AvailableStaff,Handled,Backlog,SLA_Met
01-01-2023 00:00,01-01-2023,0,6,34,34,6,5,7,0.966,6,34,0,1
01-01-2023 01:00,01-01-2023,1,6,32,32,6,4,6,0.937,5,32,0,1
01-01-2023 02:00,01-01-2023,2,6,34,34,6,5,4,0.937,3,30,4,1
01-01-2023 03:00,01-01-2023,3,6,36,36,6,5,3,0.966,2,20,20,0
01-01-2023 04:00,01-01-2023,4,6,32,32,6,4,5,0.933,4,32,20,1
01-01-2023 05:00,01-01-2023,5,6,32,32,6,4,2,0.949,1,10,42,0
01-01-2023 06:00,01-01-2023,6,6,97,97,6,12,11,0.97,10,97,42,1
01-01-2023 07:00,01-01-2023,7,6,92,92,6,11,10,0.94,9,90,44,1
01-01-2023 08:00,01-01-2023,8,6,83,83,6,10,8,0.99,7,70,57,1
01-01-2023 09:00,01-01-2023,9,6,90,90,6,11,12,0.984,11,90,57,1
01-01-2023 10:00,01-01-2023,10,6,125,125,6,15,13,0.929,12,120,62,1
01-01-2023 11:00,01-01-2023,11,6,125,125,6,15,17,0.941,16,125,62,1
01-01-2023 12:00,01-01-2023,12,6,132,132,6,16,16,0.914,14,132,62,1
01-01-2023 13:00,01-01-2023,13,6,110,110,6,13,15,0.944,14,110,62,1
01-01-2023 14:00,01-01-2023,14,6,112,112,6,14,14,0.975,13,112,62,1
01-01-2023 15:00,01-01-2023,15,6,144,144,6,17,16,0.952,15,144,62,1
01-01-2023 16:00,01-01-2023,16,6,139,139,6,17,18,0.969,17,139,62,1
01-01-2023 17:00,01-01-2023,17,6,155,155,6,19,17,0.93,15,150,67,1
01-01-2023 18:00,01-01-2023,18,6,140,140,6,17,18,0.976,17,140,67,1
01-01-2023 19:00,01-01-2023,19,6,105,105,6,13,11,0.949,10,100,72,1
01-01-2023 20:00,01-01-2023,20,6,133,133,6,16,18,0.96,17,133,72,1
01-01-2023 21:00,01-01-2023,21,6,117,117,6,14,16,0.958,15,117,72,1
01-01-2023 22:00,01-01-2023,22,6,65,65,6,8,6,0.935,5,50,87,0
01-01-2023 23:00,01-01-2023,23,6,57,57,6,7,8,0.937,7,57,87,1
02-01-2023 00:00,02-01-2023,0,0,34,34,6,5,3,0.979,2,20,101,0
02-01-2023 01:00,02-01-2023,1,0,36,36,6,5,4,0.968,3,30,107,1
02-01-2023 02:00,02-01-2023,2,0,33,33,6,4,6,0.981,5,33,107,1
02-01-2023 03:00,02-01-2023,3,0,37,37,6,5,4,0.966,3,30,114,1
02-01-2023 04:00,02-01-2023,4,0,34,34,6,5,7,0.963,6,34,114,1
02-01-2023 05:00,02-01-2023,5,0,35,35,6,5,7,0.925,6,35,114,1
02-01-2023 06:00,02-01-2023,6,0,91,91,6,11,11,0.955,10,91,114,1
02-01-2023 07:00,02-01-2023,7,0,110,110,6,13,12,0.959,11,110,114,1
02-01-2023 08:00,02-01-2023,8,0,96,96,6,12,11,0.99,10,96,114,1
02-01-2023 09:00,02-01-2023,9,0,88,88,6,11,11,0.974,10,88,114,1
02-01-2023 10:00,02-01-2023,10,0,154,154,6,19,20,0.99,19,154,114,1
02-01-2023 11:00,02-01-2023,11,0,130,130,6,16,15,0.972,14,130,114,1
02-01-2023 12:00,02-01-2023,12,0,146,146,6,18,16,0.946,15,146,114,1
02-01-2023 13:00,02-01-2023,13,0,121,121,6,15,15,0.962,14,121,114,1
02-01-2023 14:00,02-01-2023,14,0,129,129,6,16,15,0.965,14,129,114,1
02-01-2023 15:00,02-01-2023,15,0,171,171,6,21,22,0.941,20,171,114,1
02-01-2023 16:00,02-01-2023,16,0,178,178,6,21,20,0.952,19,178,114,1
02-01-2023 17:00,02-01-2023,17,0,170,170,6,20,22,0.956,21,170,114,1
02-01-2023 18:00,02-01-2023,18,0,166,166,6,20,18,0.99,17,166,114,1
02-01-2023 19:00,02-01-2023,19,0,129,129,6,16,16,0.918,14,129,114,1
02-01-2023 20:00,02-01-2023,20,0,116,116,6,14,16,0.984,15,116,114,1
02-01-2023 21:00,02-01-2023,21,0,124,124,6,15,16,0.941,15,124,114,1
02-01-2023 22:00,02-01-2023,22,0,69,69,6,9,11,0.933,10,69,114,1
02-01-2023 23:00,02-01-2023,23,0,78,78,6,10,12,0.984,11,78,114,1
03-01-2023 00:00,03-01-2023,0,1,37,37,6,5,6,0.975,5,37,114,1
03-01-2023 01:00,03-01-2023,1,1,31,31,6,4,6,0.985,5,31,114,1
03-01-2023 02:00,03-01-2023,2,1,37,37,6,5,5,0.976,4,37,114,1
03-01-2023 03:00,03-01-2023,3,1,35,35,6,5,4,0.99,3,30,119,1
03-01-2023 04:00,03-01-2023,4,1,34,34,6,5,7,0.971,6,34,119,1
03-01-2023 05:00,03-01-2023,5,1,38,38,6,5,5,0.957,4,38,119,1
03-01-2023 06:00,03-01-2023,6,1,104,104,6,13,12,0.967,11,104,119,1
03-01-2023 07:00,03-01-2023,7,1,103,103,6,13,12,0.985,11,103,119,1
03-01-2023 08:00,03-01-2023,8,1,90,90,6,11,13,0.944,12,90,119,1
03-01-2023 09:00,03-01-2023,9,1,94,94,6,12,12,0.947,11,94,119,1
03-01-2023 10:00,03-01-2023,10,1,148,148,6,18,20,0.954,19,148,119,1
03-01-2023 11:00,03-01-2023,11,1,155,155,6,19,20,0.918,18,155,119,1
03-01-2023 12:00,03-01-2023,12,1,139,139,6,17,16,0.963,15,139,119,1
03-01-2023 13:00,03-01-2023,13,1,142,142,6,17,19,0.922,17,142,119,1
03-01-2023 14:00,03-01-2023,14,1,131,131,6,16,15,0.961,14,131,119,1
03-01-2023 15:00,03-01-2023,15,1,152,152,6,18,18,0.977,17,152,119,1
03-01-2023 16:00,03-01-2023,16,1,179,179,6,22,20,0.95,19,179,119,1
03-01-2023 17:00,03-01-2023,17,1,186,254,6,30,32,0.99,31,254,119,1
